disturbance_rate,method,actions_delta,actions_delta_normal95_high,actions_delta_normal95_low,baseline,baseline_success_only,baton_success_only,mcnemar_exact_p,pairs,success_delta,success_delta_normal95_high,success_delta_normal95_low
0.05,baton_str,-0.6308888888888889,-0.6066365785851638,-0.655141199192614,agentchord,0,0,1.0,18000,0.0,0.0,0.0
0.05,baton_str,-2.882388888888889,-2.8026294235852847,-2.962148354192493,doremi,0,90,1.6155871338926365e-27,18000,0.005,0.006030434628593334,0.003969565371406666
0.05,baton_str,-2.882388888888889,-2.8026294235852847,-2.962148354192493,inner_monologue,0,90,1.6155871338926365e-27,18000,0.005,0.006030434628593334,0.003969565371406666
0.05,baton_str,-11.7115,-11.498426317118955,-11.924573682881043,no_recovery,0,6738,0.0,18000,0.37433333333333335,0.38140341877504763,0.36726324789161907
0.05,baton_str,-13.197444444444445,-12.995413999454206,-13.399474889434684,rekep,0,6767,0.0,18000,0.37594444444444447,0.38302059989661935,0.3688682889922696
0.15,baton_str,-0.6997777777777778,-0.6716454625944301,-0.7279100929611255,agentchord,0,0,1.0,18000,0.0,0.0,0.0
0.15,baton_str,-3.186,-3.0981499781225845,-3.2738500218774154,doremi,0,152,3.503246160812046e-46,18000,0.008444444444444444,0.009781249163668654,0.007107639725220233
0.15,baton_str,-3.186,-3.0981499781225845,-3.2738500218774154,inner_monologue,0,152,3.503246160812046e-46,18000,0.008444444444444444,0.009781249163668654,0.007107639725220233
0.15,baton_str,-12.071777777777777,-11.859759770607893,-12.283795784947662,no_recovery,0,6967,0.0,18000,0.38705555555555554,0.39417131260626026,0.3799397985048508
0.15,baton_str,-13.815111111111111,-13.614908701730396,-14.015313520491826,rekep,0,7024,0.0,18000,0.39022222222222225,0.39734854842597034,0.38309589601847416
0.35,baton_str,-0.9289444444444445,-0.8890342310269062,-0.9688546578619828,agentchord,0,5,0.0625,18000,0.0002777777777777778,0.0005212292051001153,3.432635045544027e-05
0.35,baton_str,-3.9509444444444446,-3.8444395506112263,-4.057449338277663,doremi,0,445,2.2013136429276345e-134,18000,0.024722222222222222,0.026990685847832138,0.022453758596612305
0.35,baton_str,-3.9509444444444446,-3.8444395506112263,-4.057449338277663,inner_monologue,0,445,2.2013136429276345e-134,18000,0.024722222222222222,0.026990685847832138,0.022453758596612305
0.35,baton_str,-12.809111111111111,-12.599756721391158,-13.018465500831065,no_recovery,1,7477,0.0,18000,0.41533333333333333,0.4225340512764296,0.40813261539023704
0.35,baton_str,-15.178722222222222,-14.982844490967162,-15.374599953477281,rekep,1,7694,0.0,18000,0.4273888888888889,0.4346176515900709,0.4201601261877069
