proposal_error_rate,method,episodes,task_success_rate,mean_progress,next_subtask_accuracy,valid_selection_rate,injected_failure_recovery_rate,safety_fallback_rate,ttc_route_rate,mean_model_calls_per_decision,mean_search_nodes_per_decision,mean_planner_latency_ms
0.15,adaptive_ttc,6000,1.0,1.0,0.9961488651080362,1.0,1.0,1.704041987594574e-05,0.34862995024197396,3.1035205507463703,9.065452252743508,0.4366667186897914
0.15,best_of_n,6000,1.0,1.0,0.9827545073446713,1.0,1.0,0.0,0.0,1.0,4.0,0.2687156793173128
0.15,plan_once,6000,1.0,1.0,0.9697191738804444,1.0,1.0,0.09225683320837025,0.0,1.0,1.0,0.029641593316028916
0.15,recursive,6000,1.0,1.0,0.9697191738804444,1.0,1.0,0.09225683320837025,0.0,2.6926249062776906,2.6926249062776906,0.049629181209971306
0.15,ttc,6000,1.0,1.0,0.9968304819030741,1.0,1.0,0.0,1.0,6.043845000340808,24.175380001363234,1.2954597392131704
0.28,adaptive_ttc,30000,1.0,1.0,0.9921675289883228,1.0,1.0,0.00027607926542465083,0.44067363340763616,3.611474672283687,11.005225055727111,0.797172734677389
0.28,best_of_n,30000,1.0,1.0,0.9701389267601025,1.0,1.0,0.00013974477831706387,0.0,1.0,4.0,0.4990766418779634
0.28,plan_once,30000,1.0,1.0,0.9468035066670303,1.0,1.0,0.17143743353420773,0.0,1.0,1.0,0.041350239767171525
0.28,recursive,30000,1.0,1.0,0.9468035066670303,1.0,1.0,0.17143743353420773,0.0,2.6983373326425437,2.6983373326425437,0.06800974294727892
0.28,ttc,30000,1.0,1.0,0.9943252307398672,1.0,1.0,0.00013973906286212867,1.0,5.998067511008712,23.992270044034846,1.4142384642676986
0.45,adaptive_ttc,6000,1.0,1.0,0.9855144089026738,1.0,1.0,0.0018916477785920005,0.5601833705414203,4.222396428023655,13.329402341553196,0.7707141700534221
0.45,best_of_n,6000,1.0,1.0,0.9534614138865686,1.0,1.0,0.0006136956410562384,0.0,1.0,4.0,0.23444147979860436
0.45,plan_once,6000,1.0,1.0,0.9163768412438625,1.0,1.0,0.27763570649208946,0.0,1.0,1.0,0.057547051304867744
0.45,recursive,6000,1.0,1.0,0.9163768412438625,1.0,1.0,0.27763570649208946,0.0,2.705571467539553,2.705571467539553,0.08056482402936424
0.45,ttc,6000,1.0,1.0,0.9893490115882754,1.0,1.0,0.0005623721881390593,1.0,5.899812542603954,23.599250170415814,1.1296988403516057
